dataset,fid,raas_inference_ms,raas_postprocess_ms,sam_generate_ms,sam_postprocess_ms,oasc_ms,global_fusion_ms,mbp_ms,objectomaly_refine_ms,end_to_end_compute_ms
AnomalyTrack-all,validation0000,3818.9282580278814,15.980282099917531,43698.887726990506,4063.1413890514523,991.5114711038768,17077.180598163977,607.1241609752178,18675.816230243072,70272.75388641283
AnomalyTrack-all,validation0001,2615.851051174104,4.502138122916222,38478.82313397713,7385.940213920549,1103.5387758165598,9527.073729783297,401.1368209030479,11031.749326502904,59516.8658636976
AnomalyTrack-all,validation0002,4197.023594984785,3.535080933943391,22179.958653869107,3486.187895992771,1063.9235300477594,15430.540217086673,354.0442520752549,16848.507999209687,46715.21322499029
AnomalyTrack-all,validation0003,3196.4888169895858,4.239913076162338,32168.760166037828,4914.675103966147,1658.0981409642845,29238.72716212645,590.4747690074146,31487.30007209815,71771.46407216787
AnomalyTrack-all,validation0004,4404.430049005896,3.656527027487755,13354.568386916071,18699.25277400762,2034.9199129268527,41134.31769912131,1592.4413059838116,44761.678918031976,81223.58665498905
AnomalyTrack-all,validation0005,5186.18923984468,5.333126988261938,16643.15708889626,9280.413828091696,1416.996258078143,23315.99473510869,1455.124574014917,26188.11556720175,57303.208851022646
AnomalyTrack-all,validation0006,2561.227248981595,3.970092162489891,31962.60676602833,32191.901843994856,3181.667051045224,35058.322206139565,1640.2226318605244,39880.21188904531,106599.91784021258
AnomalyTrack-all,validation0007,2678.4667971078306,4.586221883073449,15640.985443955287,38022.261457983404,4622.143886052072,65272.81813300215,2327.9140279628336,72222.87604701705,128569.17596794665
AnomalyTrack-all,validation0008,5180.309002054855,5.56685496121645,24441.07149192132,33681.109194876626,3655.4738089907914,71302.85452515818,1588.5064650792629,76546.83479922824,139854.89134304225
AnomalyTrack-all,validation0009,2918.816444929689,15.515383100137115,24897.75776397437,5245.73601805605,1350.6721130106598,20384.827164001763,479.3253359384835,22214.824612950906,55292.65022301115
ObstacleTrack-all,validation_1,3240.63982302323,20.504415966570377,37721.93873091601,10725.245121866465,2636.1336659174412,19461.24241221696,1047.5505548529327,23144.926632987335,74853.25472475961
ObstacleTrack-all,validation_10,4218.01512199454,50.677798921242356,31692.899354966357,12250.633036950603,2419.6795627940446,16033.321087015793,1851.4505599159747,20304.451209725812,68516.67652255856
ObstacleTrack-all,validation_11,3446.793156908825,27.002230053767562,40291.05250490829,8642.046750988811,2186.9266140274704,13820.08690200746,1279.6253219712526,17286.638838006184,69693.53348086588
ObstacleTrack-all,validation_12,2743.581893853843,9.478064952418208,38841.23162087053,8825.868617976084,3521.1637758184224,12306.765191955492,1687.539906008169,17515.468873782083,67935.62907143496
ObstacleTrack-all,validation_13,2695.4356639180332,13.704183045774698,40559.70135098323,11233.42417809181,2931.174756027758,9565.463972976431,1484.8953229375184,13981.534051941708,68483.79942798056
ObstacleTrack-all,validation_14,2403.7298317998648,12.771988986060023,35887.393343960866,9379.690675996244,2676.7548909410834,9935.93291984871,1216.3757029920816,13829.063513781875,61512.64935452491
ObstacleTrack-all,validation_15,4294.293966842815,23.905694019049406,31962.65490492806,5490.340521093458,1357.6960458885878,4953.750621993095,996.6912430245429,7308.137910906225,49079.33299778961
ObstacleTrack-all,validation_16,2234.913606895134,10.075310943648219,36054.33333595283,11126.793233212084,2853.957708925009,8130.710030905902,1611.374625004828,12596.04236483574,62022.15785183944
ObstacleTrack-all,validation_17,2576.8790480215102,11.987284990027547,37297.102242009714,5806.65014591068,2966.339296894148,6462.192625971511,1027.525597019121,10456.05751988478,56148.67624081671
ObstacleTrack-all,validation_18,3172.7269378025085,8.879361907020211,42511.137657100335,12638.198974076658,3992.677927017212,9711.325674084947,2242.4737131223083,15946.477314224467,74277.42024511099
ObstacleTrack-all,validation_2,3286.0530191101134,10.394453071057796,31629.48775687255,12001.248590881005,2369.768086820841,6986.631345003843,606.1441260389984,9962.543557863683,56889.72737779841
ObstacleTrack-all,validation_20,3547.7423570118845,9.075724985450506,24917.272076010704,10207.901840098202,3945.9430798888206,12825.192384887487,1558.7696719449013,18329.90513672121,57011.89713482745
ObstacleTrack-all,validation_3,3673.984932946041,8.826388977468014,33057.00094788335,6236.35993199423,1676.481731934473,5117.475150851533,1135.827830992639,7929.784713778645,50905.956915579736
ObstacleTrack-all,validation_30,3215.682266978547,9.279413847252727,36445.1361161191,22041.274016024545,3680.4476359393448,26004.88050491549,1452.1479171235114,31137.476057978347,92848.8478709478
ObstacleTrack-all,validation_31,3092.7224061451852,8.89117899350822,26206.241400912404,14949.434175156057,2930.5542449001223,4690.464661922306,781.9207701832056,8402.939677005634,52660.22883821279
ObstacleTrack-all,validation_32,3770.499788923189,9.799339110031724,22457.324910908937,24126.01428781636,6502.354444935918,15870.438124984503,1824.1915858816355,24196.984155802056,74560.62248256058
ObstacleTrack-all,validation_33,3603.5035280510783,47.47510398738086,22644.444052129984,13395.562711870298,2058.1041539553553,5821.991526056081,1028.7581828888506,8908.853862900287,48599.83925893903
