dataset,fid,raas_inference_ms,raas_postprocess_ms,sam_generate_ms,sam_postprocess_ms,oasc_ms,global_fusion_ms,mbp_ms,objectomaly_refine_ms,end_to_end_compute_ms
AnomalyTrack-all,validation0000,2813.7264258693904,4.129395820200443,43698.887726990506,4063.1413890514523,743.6115159653127,12430.711856111884,120.78752112574875,13295.110893202946,63874.995830934495
AnomalyTrack-all,validation0001,1914.8293319158256,2.900275867432356,38478.82313397713,7385.940213920549,883.8626651559025,10360.821251990274,187.98706796951592,11432.670985115692,59215.16394079663
AnomalyTrack-all,validation0002,2649.4107160251588,3.4760429989546537,22179.958653869107,3486.187895992771,725.1120009459555,16884.665939956903,87.87421206943691,17697.652152972296,46016.68546185829
AnomalyTrack-all,validation0003,2573.5320278909057,3.1306759919971228,32168.760166037828,4914.675103966147,582.7242478262633,32113.021010998636,68.901406833902,32764.6466656588,72424.74463954568
AnomalyTrack-all,validation0004,2577.9489129781723,3.660493064671755,13354.568386916071,18699.25277400762,2131.6539058461785,48857.66284400597,133.56771506369114,51122.88446491584,85758.31503188238
AnomalyTrack-all,validation0005,2165.4897429980338,8.743393002077937,16643.15708889626,9280.413828091696,1037.8350710961968,25800.970850978047,114.14983193390071,26952.955754008144,55050.75980699621
AnomalyTrack-all,validation0006,2704.8440182115883,13.757934095337987,31962.60676602833,32191.901843994856,1164.3990450538695,27513.3342910558,349.5399060193449,29027.273242129013,95900.38380445912
AnomalyTrack-all,validation0007,2709.84865212813,9.980255039408803,15640.985443955287,38022.261457983404,2468.950120965019,55958.56448309496,279.74685397930443,58707.261458039284,115090.33726714551
AnomalyTrack-all,validation0008,2358.1385870929807,19.969696877524257,24441.07149192132,33681.109194876626,1425.0336939003319,46808.904230128974,149.87148600630462,48383.80941003561,108884.09838080406
AnomalyTrack-all,validation0009,2621.0120518226177,3.761968109756708,24897.75776397437,5245.73601805605,1045.131396036595,17063.337980071083,102.24062507040799,18210.710001178086,50978.97780314088
ObstacleTrack-all,validation_1,2116.354078054428,7.352062035351992,37721.93873091601,10725.245121866465,1086.4654649049044,14063.36053297855,310.5554210487753,15460.38141893223,66031.27141180448
ObstacleTrack-all,validation_10,2797.387966187671,6.162218051031232,31692.899354966357,12250.633036950603,1079.2645360343158,8586.589996004477,164.68796296976507,9830.542495008558,56577.62507116422
ObstacleTrack-all,validation_11,2346.5128170792013,6.596422987058759,40291.05250490829,8642.046750988811,1068.4551971498877,9190.27968798764,109.216732904315,10367.951618041843,61654.16011400521
ObstacleTrack-all,validation_12,2377.5644439738244,8.227980928495526,38841.23162087053,8825.868617976084,1178.4579758532345,6487.486407859251,175.59230793267488,7841.53669164516,57894.429355394095
ObstacleTrack-all,validation_13,2364.8943100124598,6.053222110494971,40559.70135098323,11233.42417809181,1511.1284060403705,8317.152210045606,251.54281500726938,10079.823431093246,64243.89649229124
ObstacleTrack-all,validation_14,2723.39516505599,6.358798127621412,35887.393343960866,9379.690675996244,1359.7119089681655,8869.045440806076,122.13391694240272,10350.891266716644,58347.729249857366
ObstacleTrack-all,validation_15,2595.730853965506,6.596544990316033,31962.65490492806,5490.340521093458,966.3287580478936,3062.115777982399,206.813788972795,4235.2583250030875,44290.581149980426
ObstacleTrack-all,validation_16,2845.636893995106,7.7454699203372,36054.33333595283,11126.793233212084,1253.7297029048204,6961.131246993318,182.08350194618106,8396.94445184432,58431.45338492468
ObstacleTrack-all,validation_17,2711.003773845732,16.976487124338746,37297.102242009714,5806.65014591068,1384.1720139607787,4219.270906876773,218.2920698542148,5821.734990691766,51653.46763958223
ObstacleTrack-all,validation_18,2751.5398098621517,12.744194827973843,42511.137657100335,12638.198974076658,1350.5457369610667,7545.72560894303,127.42658983916044,9023.697935743257,66937.31857161038
ObstacleTrack-all,validation_2,2773.3803279697895,27.070207986980677,31629.48775687255,12001.248590881005,1674.8981799464673,5175.296864937991,341.24251385219395,7191.437558736652,53622.62444244698
ObstacleTrack-all,validation_20,2653.970750980079,29.965927125886083,24917.272076010704,10207.901840098202,1809.9536749068648,8765.887627843767,338.279273128137,10914.12057587877,48723.23117009364
ObstacleTrack-all,validation_3,2959.3512238934636,6.868029944598675,33057.00094788335,6236.35993199423,1715.2319138403982,4096.80891293101,138.89075187034905,5950.931578641757,48210.5117123574
ObstacleTrack-all,validation_30,2409.167271805927,13.373745838180184,36445.1361161191,22041.274016024545,3271.4758610818535,34910.03555501811,546.3314489461482,38727.842865046114,99636.79401483387
ObstacleTrack-all,validation_31,2187.2556270100176,6.621852982789278,26206.241400912404,14949.434175156057,3183.3910360001028,18765.33545413986,505.1464270800352,22453.872917219996,65803.42597328126
ObstacleTrack-all,validation_32,2429.404349066317,6.176776019856334,22457.324910908937,24126.01428781636,2882.528566988185,12325.702460017055,518.7840999569744,15727.015126962215,64745.935450773686
ObstacleTrack-all,validation_33,2583.1939629279077,13.451206032186747,22644.444052129984,13395.562711870298,3271.8301969580352,11684.152422007173,429.2243248783052,15385.206943843514,54021.85887680389
ObstacleTrack-all,validation_34,2182.9881879966706,48.9815769251436,21584.664249094203,15885.027885902673,3677.247674902901,14419.990602182224,348.72905793599784,18445.967335021123,58147.62923493981
ObstacleTrack-all,validation_35,2677.7602389920503,7.349252002313733,24919.583515962586,17126.271418994293,2884.9606630392373,6754.382772138342,360.53752922452986,9999.88096440211,54730.84539035335
ObstacleTrack-all,validation_36,2556.371005019173,11.624597012996674,33630.339889088646,12335.866190958768,1225.5945270881057,7131.865517003462,246.33627687580884,8603.796320967376,57137.99800304696
ObstacleTrack-all,validation_37,2802.6632140390575,47.990022925660014,23592.877862975,21034.16015091352,2681.6724070813507,13708.309855079278,409.8996960092336,16799.881958169863,64277.5732090231
ObstacleTrack-all,validation_38,3016.0656329244375,6.099791033193469,24778.989357175305,15647.858449956402,2120.5239058472216,15570.792417041957,176.9531830213964,17868.269505910575,61317.282736999914
ObstacleTrack-all,validation_39,1996.9973391853273,8.787660859525204,24724.81749788858,16745.968339964747,2248.0982199776918,12029.563927091658,258.6579720955342,14536.320119164884,58012.890957063064
ObstacleTrack-all,validation_4,2089.8458890151232,20.761658903211355,28599.507343024015,2902.5701710488647,1140.5663278419524,5161.731728818268,140.7651649788022,6443.063221639022,40055.74828363024
ObstacleTrack-all,validation_40,1651.4393838588148,7.776955142617226,28624.20930597,14846.20682685636,2733.4260002244264,10488.458997104317,397.5153530482203,13619.400350376964,58749.032822204754
ObstacleTrack-all,validation_5,2404.0930119808763,6.543876836076379,22253.934636944905,7193.66582785733,1244.1446220036596,7164.670917904004,151.26995998434722,8560.085499892011,40418.3228535112
ObstacleTrack-all,validation_6,2009.4073140062392,5.948274163529277,22426.38222593814,4750.453229062259,1189.4751500803977,8098.009507870302,158.82029314525425,9446.304951095954,38638.49599426612
ObstacleTrack-all,validation_7,2205.721837002784,6.391911068931222,26666.922360891476,3485.2509000338614,1146.6487620491534,4355.850101914257,156.94872615858912,5659.447590121999,38023.73459911905
ObstacleTrack-all,validation_8,2871.3254178874195,8.51785484701395,16309.916737955064,7988.273314898834,1110.7051400467753,8801.644237013534,345.01444501802325,10257.363822078332,37435.39714766666
ObstacleTrack-all,validation_9,2080.719124060124,6.187845021486282,24864.96151681058,7447.205242002383,711.0516030807048,5867.6834588404745,121.72745913267136,6700.462521053851,41099.536248948425
