dataset,fid,raas_inference_ms,raas_postprocess_ms,sam_generate_ms,sam_postprocess_ms,oasc_ms,global_fusion_ms,mbp_ms,objectomaly_refine_ms,end_to_end_compute_ms
AnomalyTrack-all,validation0000,2474.332703044638,3.71278403326869,43698.887726990506,4063.1413890514523,747.6608811412007,7864.260975969955,89.21008603647351,8701.13194314763,58941.206546267495
AnomalyTrack-all,validation0001,1812.3582298867404,3.839201992377639,38478.82313397713,7385.940213920549,896.7199469916523,9097.76035696268,63.719334080815315,10058.199638035148,57739.160417811945
AnomalyTrack-all,validation0002,2030.4916959721595,10.205782949924469,22179.958653869107,3486.187895992771,1196.7948179226369,16528.598929056898,135.50519803538918,17860.898945014924,45567.742973798886
AnomalyTrack-all,validation0003,2541.2704651243985,16.443907981738448,32168.760166037828,4914.675103966147,732.1023980621248,29009.310006862506,215.55294608697295,29956.965351011604,69598.11499412172
AnomalyTrack-all,validation0004,2427.297919988632,3.699576947838068,13354.568386916071,18699.25277400762,2325.3135348204523,48657.297514844686,322.13840004988015,51304.74944971502,85789.56810757518
AnomalyTrack-all,validation0005,2229.3776338919997,13.867529109120369,16643.15708889626,9280.413828091696,1537.8139240201563,23036.57882194966,97.94885106384754,24672.341597033665,52839.15767702274
AnomalyTrack-all,validation0006,3273.2210271060467,6.636325037106872,31962.60676602833,32191.901843994856,2462.3078040312976,23421.025051968172,275.41045285761356,26158.743308857083,93593.10927102342
AnomalyTrack-all,validation0007,1697.2694830037653,3.5026560071855783,15640.985443955287,38022.261457983404,1916.2797720637172,46017.30578718707,169.70334411598742,48103.288903366774,103467.30794431642
AnomalyTrack-all,validation0008,2206.741882953793,5.1360721699893475,24441.07149192132,33681.109194876626,1209.1859721112996,45093.35919213481,232.81924007460475,46535.36440432072,106869.42304624245
AnomalyTrack-all,validation0009,2843.1830699555576,13.663450023159385,24897.75776397437,5245.73601805605,682.7716138213873,13545.500693842769,63.34795500151813,14291.620262665674,47291.96056467481
ObstacleTrack-all,validation_1,2012.0686190202832,6.195796187967062,37721.93873091601,10725.245121866465,1181.5264420583844,9852.860437007621,134.53916599974036,11168.926045065746,61634.37431305647
ObstacleTrack-all,validation_10,2549.1711099166423,7.092121057212353,31692.899354966357,12250.633036950603,1601.5322250314057,6838.804048020393,231.94638802669942,8672.282661078498,55172.07828396931
ObstacleTrack-all,validation_11,2838.6722209397703,6.117613986134529,40291.05250490829,8642.046750988811,1314.0818090178072,12705.862330971286,124.21494792215526,14144.159087911248,65922.04817873426
ObstacleTrack-all,validation_12,2114.168675849214,7.626525824889541,38841.23162087053,8825.868617976084,1541.8292540125549,5635.990690905601,207.97784090973437,7385.79778582789,57174.69322634861
ObstacleTrack-all,validation_13,2226.847792044282,13.058600947260857,40559.70135098323,11233.42417809181,1359.2662510927767,5508.485956117511,134.98160801827908,7002.7338152285665,61035.76573729515
ObstacleTrack-all,validation_14,2285.4057950899005,14.268811093643308,35887.393343960866,9379.690675996244,1026.9371699541807,6666.076715802774,133.97770491428673,7826.991590671241,55393.750216811895
ObstacleTrack-all,validation_15,2276.099975919351,6.332871038466692,31962.65490492806,5490.340521093458,693.3603310026228,3612.1616091113538,153.51370791904628,4459.035648033023,44194.46392101236
ObstacleTrack-all,validation_16,2393.20982596837,23.398105055093765,36054.33333595283,11126.793233212084,1359.2953628394753,6696.84915500693,407.00998716056347,8463.154505006969,58060.88900519535
ObstacleTrack-all,validation_17,2707.3181949090213,23.053340148180723,37297.102242009714,5806.65014591068,1164.8396351374686,4688.949787057936,128.17051401361823,5981.959936209023,51816.08385918662
ObstacleTrack-all,validation_18,2197.7833239361644,7.035831920802593,42511.137657100335,12638.198974076658,1704.8394980374724,5127.987889107317,184.8791199736297,7017.706507118419,64371.86229415238
ObstacleTrack-all,validation_2,2164.223439991474,6.462486926466227,31629.48775687255,12001.248590881005,933.3745760377496,2844.9660239275545,110.73268996551633,3889.0732899308205,49690.495564602315
ObstacleTrack-all,validation_20,2885.982023086399,8.218011818826199,24917.272076010704,10207.901840098202,1852.6216209866107,4480.407354887575,316.7267479002476,6649.755723774433,44669.129674788564
ObstacleTrack-all,validation_3,2657.545831054449,9.444101015105844,33057.00094788335,6236.35993199423,757.1594300679862,2907.076657982543,182.95921804383397,3847.1953060943633,45807.5461180415
ObstacleTrack-all,validation_30,1969.3933511152864,6.360545987263322,36445.1361161191,22041.274016024545,1963.6715499218553,23169.268026016653,276.3472499791533,25409.28682591766,85871.45085516386
ObstacleTrack-all,validation_31,3340.338904876262,7.631485816091299,26206.241400912404,14949.434175156057,1913.2122390437871,14187.15673708357,469.4583029486239,16569.82727907598,61073.473245836794
ObstacleTrack-all,validation_32,2435.1864519994706,14.19221912510693,22457.324910908937,24126.01428781636,1457.847551908344,11678.520020795986,184.7554559353739,13321.123028639704,62353.84089848958
ObstacleTrack-all,validation_33,3064.955685986206,19.435114925727248,22644.444052129984,13395.562711870298,2090.6598491128534,8441.338420147076,318.8000009395182,10850.798270199448,49975.19583511166
ObstacleTrack-all,validation_34,2449.1267539560795,16.35929010808468,21584.664249094203,15885.027885902673,1755.8843530714512,13525.683805113658,343.32254086621106,15624.89069905132,55560.06887811236
ObstacleTrack-all,validation_35,3660.4913230985403,7.407672004774213,24919.583515962586,17126.271418994293,1898.927291855216,8451.10218389891,355.9991382062435,10706.02861396037,56419.78254402056
ObstacleTrack-all,validation_36,3176.0689199436456,55.3549921605736,33630.339889088646,12335.866190958768,1002.0040669478476,5764.82990803197,177.49780998565257,6944.33178496547,56141.9617771171
ObstacleTrack-all,validation_37,2708.3261110819876,11.801346903666854,23592.877862975,21034.16015091352,2374.4332059286535,11743.278863839805,392.22524291835725,14509.937312686816,61857.10278456099
ObstacleTrack-all,validation_38,2306.575385853648,6.832587067037821,24778.989357175305,15647.858449956402,2556.023899000138,14470.712753012776,350.6416429299861,17377.3782949429,60117.634074995294
ObstacleTrack-all,validation_39,2538.8185440097004,17.950457986444235,24724.81749788858,16745.968339964747,1754.5227550435811,11209.006707184017,191.0476388875395,13154.577101115137,57182.13194096461
